timestamp,day,hour,HR,HR_zscore,HRV,HRV_zscore,SKT,SKT_zscore,EDA,EDA_zscore,SPO2,SPO2_zscore,SMF,SMF_zscore,CRS,CRS_zscore,correlation_norm,health_deviation,label,label_name
2026-01-01 00:00:00,1,0.0,71.9898,-14.5347,53.5123,-7.1315,34.6298,-70.6445,3.253,-3.6772,97.6274,-460.1323,0.0744,-2.9425,0.8796,-10.3562,0.3085,48.6518,0,normal
2026-01-01 00:01:00,1,0.016666666666666666,72.0007,-12.5919,53.5432,-6.1195,34.6311,-61.3114,3.2554,-3.1631,97.6282,-398.7386,0.0745,-2.7066,0.8799,-8.9706,0.3085,62.6776,0,normal
2026-01-01 00:02:00,1,0.03333333333333333,72.0126,-10.6487,53.571,-5.1072,34.6324,-51.978,3.258,-2.6487,97.629,-337.3445,0.0746,-2.4704,0.8802,-7.5845,0.3085,73.5977,0,normal
2026-01-01 00:03:00,1,0.05,72.0258,-8.7051,53.5954,-4.0946,34.6337,-42.6442,3.2605,-2.1337,97.6296,-275.95,0.0747,-2.2339,0.8805,-6.198,0.3085,70.1289,0,normal
2026-01-01 00:04:00,1,0.06666666666666667,72.0396,-6.761,53.6171,-3.0816,34.635,-33.31,3.263,-1.6184,97.6302,-214.5551,0.0747,-1.9972,0.8808,-4.8111,0.3085,54.6002,0,normal
2026-01-01 00:05:00,1,0.08333333333333333,72.0533,-4.8165,53.6379,-2.0683,34.6364,-23.9755,3.2653,-1.1026,97.6307,-153.1598,0.0748,-1.7602,0.8811,-3.4237,0.3085,39.0741,0,normal
2026-01-01 00:06:00,1,0.1,72.0667,-2.8715,53.6589,-1.0546,34.6377,-14.6406,3.2677,-0.5864,97.6313,-91.7641,0.0749,-1.5229,0.8813,-2.036,0.3085,25.1505,0,normal
2026-01-01 00:07:00,1,0.11666666666666667,72.0809,-0.9261,53.6792,-0.0405,34.639,-5.3053,3.2701,-0.0698,97.6318,-30.368,0.075,-1.2854,0.8816,-0.6478,0.3085,14.3327,0,normal
2026-01-01 00:08:00,1,0.13333333333333333,72.0959,0.0497,53.6982,0.4697,34.6404,-0.6348,3.2725,0.1917,97.6324,0.3332,0.075,-1.1645,0.8818,0.0497,0.3085,6.6206,0,normal
2026-01-01 00:09:00,1,0.15,72.1115,0.0556,53.7167,0.4755,34.6418,-0.6293,3.2751,0.1977,97.6331,0.3389,0.0751,-1.1606,0.8821,0.0561,0.3085,2.0144,0,normal
2026-01-01 00:10:00,1,0.16666666666666666,72.1272,0.0616,53.735,0.4813,34.6432,-0.6238,3.2779,0.2038,97.6337,0.3446,0.0752,-1.1568,0.8823,0.0623,0.3085,0.5114,0,normal
2026-01-01 00:11:00,1,0.18333333333333332,72.1434,0.0676,53.7531,0.487,34.6445,-0.6182,3.2807,0.2098,97.6344,0.3502,0.0753,-1.153,0.8826,0.0684,0.3085,0.5114,0,normal
2026-01-01 00:12:00,1,0.2,72.1602,0.0736,53.7714,0.4927,34.6459,-0.6127,3.2834,0.2159,97.635,0.3557,0.0754,-1.1491,0.8829,0.0745,0.3085,0.5115,0,normal
2026-01-01 00:13:00,1,0.21666666666666667,72.1772,0.0796,53.7908,0.4984,34.6473,-0.6071,3.2861,0.2219,97.6357,0.3613,0.0755,-1.1453,0.8832,0.0805,0.3085,0.5116,0,normal
2026-01-01 00:14:00,1,0.23333333333333334,72.193,0.0856,53.8116,0.504,34.6486,-0.6015,3.2886,0.2281,97.6363,0.3669,0.0756,-1.1414,0.8834,0.0865,0.3085,0.5117,0,normal
2026-01-01 00:15:00,1,0.25,72.2072,0.0917,53.833,0.5096,34.65,-0.5959,3.2913,0.2342,97.6369,0.3726,0.0756,-1.1374,0.8837,0.0925,0.3085,0.5117,0,normal
2026-01-01 00:16:00,1,0.26666666666666666,72.2203,0.0978,53.8551,0.5152,34.6514,-0.5903,3.2939,0.2403,97.6374,0.3784,0.0757,-1.1334,0.884,0.0986,0.3084,0.5118,0,normal
